location_id,name,lat,lon,population,food_needed,water_needed,medical_needed,priority
L1,Alima Camp,15.50,32.60,1200,300,200,100,3
L2,Bara Village,15.20,32.80,900,220,180,90,2
L3,Cedar Refuge,15.85,33.15,1500,400,300,150,4
L4,Darim Town,15.40,32.70,1100,270,210,120,3
L5,Elara Settlement,15.60,33.00,1300,330,260,140,4
L6,Faron Camp,15.30,32.50,800,200,150,80,2
L7,Golan Refugee Camp,15.95,33.10,1400,360,290,160,4
L8,Hadi Village,15.10,32.45,700,180,140,70,1
L9,Ivara Town,15.70,32.90,1250,310,240,130,3
L10,Jalor District,15.80,33.35,1600,420,320,170,5
L11,Kamir Settlement,15.48,32.88,1000,250,200,100,2
L12,Loran Camp,15.66,33.12,1350,340,260,150,4
L13,Mirat Village,15.22,32.72,950,230,170,95,2
L14,Nova Ridge Camp,15.88,33.22,1450,370,280,155,4
L15,Orin District,15.35,32.95,1050,260,210,110,3
L16,Parin Settlement,15.62,32.72,1200,310,240,125,3
L17,Qadar Camp,15.44,32.48,850,210,160,85,2
L18,Rivan Town,15.91,33.05,1500,390,300,165,5
L19,Safra Village,15.55,33.18,1100,275,215,115,3
L20,Tarin District,15.33,32.85,900,220,180,95,2
L21,Umar Camp,15.68,33.28,1400,360,290,150,4
L22,Valen Village,15.12,32.60,750,190,150,75,1
L23,Warin Town,15.73,32.97,1250,310,240,135,3
L24,Xara Refuge,15.87,33.33,1600,420,320,170,5
L25,Yorin Settlement,15.49,32.75,1000,250,200,100,2
L26,Zafir Camp,15.64,33.08,1300,330,260,140,4
L27,Ardin Village,15.28,32.65,950,230,170,95,2
L28,Borin District,15.90,33.18,1450,370,280,155,4
L29,Cirin Camp,15.36,32.92,1050,260,210,110,3
L30,Dorin Settlement,15.60,32.55,1200,310,240,120,3
L31,Erin Village,15.44,32.40,820,205,160,80,2
L32,Farin Town,15.95,33.00,1500,380,300,160,5
L33,Garin District,15.58,33.10,1100,275,210,115,3
L34,Harin Settlement,15.20,32.95,900,220,180,90,2
L35,Irin Camp,15.72,33.22,1350,340,260,140,4
L36,Jorin Village,15.40,32.55,850,210,160,85,2
L37,Korin Refuge,15.92,33.28,1550,400,310,165,5
L38,Larin District,15.33,32.72,950,235,175,95,2
L39,Marin Town,15.66,33.05,1300,330,260,140,4
L40,Narin Settlement,15.50,32.90,1150,290,220,120,3
